playerId,playerFullName,countryCode,clubName,inferredStartDate,inferredEndDate,inferredSeverity,inferredInjuryId
91db7e0d-5ba7-43e9-aa29-f064a1d7aa77,Giulio Donati,GER,Mainz 05,2018-08-30,2019-01-05,SEVERE,d440eef6-fb69-452d-b9d9-34e0d319d4a0
c5b946cd-7fdf-44f9-849f-75e646e5d83d,Gleison Bremer,ITA,Juventus,2024-08-30,2025-02-25,SEVERE,928a0645-ca24-41ba-839c-a2a9f0b9f8cf
c5b946cd-7fdf-44f9-849f-75e646e5d83d,Gleison Bremer,ITA,Torino,2024-08-30,2025-02-25,SEVERE,928a0645-ca24-41ba-839c-a2a9f0b9f8cf
142fc6a8-bf42-436c-9919-487faf42952e,Glenn Murray,ENG,Brighton,2019-08-30,2020-01-09,SEVERE,cffdb98e-e3fd-486a-9541-65ab2b7defcc
066abeaf-37da-4836-b743-76b23c5cdb86,Guillaume Gillet,FRA,Nantes,2017-08-30,2018-02-25,SEVERE,b658f10f-71e2-482c-9a11-b41e986df091
baa7648c-856f-4f58-93b2-7b473d9392c3,Gédéon Kalulu,FRA,Lorient,2023-08-30,2023-12-21,SEVERE,5c02f98b-28bd-40b4-967a-dac483a2a3f4
a9cc3ea8-6c9c-4756-981d-b4c2f3660b77,Hamari Traoré,ESP,Real Sociedad,2024-08-30,2024-12-30,SEVERE,46d8f6aa-b326-458e-8902-4e71ed629e7b
a9cc3ea8-6c9c-4756-981d-b4c2f3660b77,Hamari Traoré,FRA,Rennes,2024-08-30,2024-12-30,SEVERE,46d8f6aa-b326-458e-8902-4e71ed629e7b
5fd738c6-79f0-4fed-a43c-2fef49d6cc81,Harry Arter,ENG,Bournemouth,2017-08-30,2018-01-31,SEVERE,7ae13252-e6aa-45ff-993d-c302fd38c96d
d329efcd-bc66-41a3-ac1f-c82b9008f9f2,Harry Maguire,ENG,Leicester City,2022-08-30,2023-01-11,SEVERE,7486fb23-cd93-4186-8d08-31aa1c83f260
d329efcd-bc66-41a3-ac1f-c82b9008f9f2,Harry Maguire,ENG,Manchester Utd,2022-08-30,2023-01-11,SEVERE,7486fb23-cd93-4186-8d08-31aa1c83f260
d329efcd-bc66-41a3-ac1f-c82b9008f9f2,Harry Maguire,ENG,Hull City,2022-08-30,2023-01-11,SEVERE,7486fb23-cd93-4186-8d08-31aa1c83f260
ffb7079e-46a1-42d2-bbce-f075486562d2,Harry Winks,ENG,Tottenham,2020-08-30,2020-12-12,SEVERE,3602f362-1dec-47f9-8ab3-aef754ccec42
5539dce6-cb93-4fcb-aded-6ca68c69cfc8,Himad Abdelli,FRA,Angers,2025-08-30,2026-01-23,SEVERE,652168f5-47d0-40a4-8b78-e74a47accd30
33698e44-71ad-47a8-bd54-ef3f735a324a,Houssem Aouar,FRA,Lyon,2022-08-30,2023-01-29,SEVERE,1b211006-41ca-4892-8b5b-6b6afb9b1fbd
0968e6f5-9bfb-4d10-8958-fd37df455a2d,Ibrahima Konaté,ENG,Liverpool,2019-08-30,2020-01-20,SEVERE,960d8594-d00d-4bbe-8778-8262c5a72554
0968e6f5-9bfb-4d10-8958-fd37df455a2d,Ibrahima Konaté,GER,RB Leipzig,2019-08-30,2020-01-20,SEVERE,960d8594-d00d-4bbe-8778-8262c5a72554
1dce1cc9-7afe-450b-ae90-0f2417447283,Iker Muniain,ESP,Athletic Club,2017-08-30,2018-01-02,SEVERE,5f7ba744-eb9f-4217-9d1d-af4715db7c8b
